,tweets,creation_date,user,retweets,favorites,favorited,retweeted,language
55,"@luisems157 ¡Hola, Luis! El chango es tu animal protector. 💛✨",2020-09-27 15:23:27-05:00,luisems157,0,,False,,es
56,"@rocco_08 ¡Hola, Rocco! El armadillo es tu animal protector. 💛✨",2020-09-27 15:22:51-05:00,rocco_08,0,,False,,es
57,"@dafnebp Hola Feferona, te comentamos que tu caso ya se encuentra siendo atendido por el Área de Atención a Clientes. Te pedimos seguir atenta a tu correo y teléfono de contacto. Saludos.",2020-09-27 15:22:41-05:00,dafnebp,0,,False,,es
58,"@mavacla ¡Hola, Claudia! Te protege el coyote. 💛✨",2020-09-27 15:22:16-05:00,mavacla,0,,False,,es
59,"@IldelVAre ¡Está increíble, Are! Piensa en el lagarto como un animal fuerte, inteligente, paciente y astuto. Suena a un gran protector. 😉💛",2020-09-27 15:21:12-05:00,IldelVAre,0,,False,,es
60,"@ZACATIUTLA ¡Hola, Luis! Tu animal protector es el chango. ✨💛",2020-09-27 15:20:05-05:00,ZACATIUTLA,0,,False,,es
61,"@ErikaRHaferkamm ¡Hola, Erika! Tu animal protector es el coyote y el de tu pareja, la serpiente. 💛✨",2020-09-27 15:19:20-05:00,ErikaRHaferkamm,0,,False,,es
62,"@alexnunezl Hola, Alex. Danos la oportunidad de ayudarte por este medio, por favor, compártenos por MD el detalle acerca de tu situación, envíanos: nombre completo, numero de pedido y SKU del articulo, correo electrónico, número de teléfono. Quedamos atentos. Saludos.",2020-09-27 15:18:30-05:00,alexnunezl,0,,False,,es
63,"@kasta911 ¡Hola, Ana! Tu animal protector es el búho. 💛🦉",2020-09-27 15:17:04-05:00,kasta911,0,,False,,es
64,"@marcogallardo77 ¡Hola, Marco! Tu animal protector es la serpiente. 💛🐍",2020-09-27 15:16:34-05:00,marcogallardo77,0,,False,,es
65,"@mapa_h ¡Hola, EdiOr! Tu animal protector es el lagarto. 💛🐊",2020-09-27 15:15:05-05:00,mapa_h,0,,False,,es
66,"@Jackie_8Solis ¡Hola, Jacqueline! Tu animal protector es el armadillo. ✨💛",2020-09-27 15:14:18-05:00,Jackie_8Solis,0,,False,,es
67,"@letyfv74 ¡Hola, Lety! Tu animal protector es el lagarto. 💛🐊",2020-09-27 15:12:53-05:00,letyfv74,0,,False,,es
68,"@TECO1949 ¡Hola, Javier! Tu animal protector es el chango. 💛✨",2020-09-27 15:12:21-05:00,TECO1949,0,,False,,es
69,@CarlosA89098757 🙌🏻🦅💛,2020-09-27 15:11:48-05:00,CarlosA89098757,0,,False,,und
70,"@Elizabe87729584 ¡Hola, Elizabeth! Tu animal protector es el águila. 💛🦅",2020-09-27 15:09:29-05:00,Elizabe87729584,0,,False,,es
71,"@albubu2501 ¡No! Son animales distintos. El coyote ha sido un animal muy importante en la cosmogonía de nuestros pueblos originarios, como el zapoteca. 😉😊",2020-09-27 15:06:53-05:00,albubu2501,0,,False,,es
72,"@Isabela21834843 ¡Hola, Isabela! Tu animal protector es el conejo. 💛🐇",2020-09-27 15:02:58-05:00,Isabela21834843,0,,False,,es
73,"@marichuyabasto ¡Hola, Chuya! Tu animal protector es la rana. 💛✨",2020-09-27 15:01:50-05:00,marichuyabasto,0,,False,,es
74,"@Guadalupedelaf6 ¡Hola, Guadalupe! Tu animal protector es el venado. 💛🦌",2020-09-27 15:00:01-05:00,Guadalupedelaf6,0,,False,,es
75,"@strelliverdeE ¡Hola! El animal protector de marzo es el armadillo y de abril, la tortuga. 💛✨",2020-09-27 14:59:19-05:00,strelliverdeE,0,,False,,es
76,"@karla_apv ¡Hola, Karla! Tu animal protector es el perro. 💛🐕",2020-09-27 14:58:39-05:00,karla_apv,0,,False,,es
77,"@arq_mafer ¡Hola, Ma. Fernanda! El animal protector de mayo es la serpiente y de marzo, el armadillo. 💛✨",2020-09-27 14:57:15-05:00,arq_mafer,0,,False,,es
